time	x	y	z
37.605	2.931267131	1.575472292	-4.851377167
37.6075	2.160994904	2.102838826	-3.865737555
37.61	1.128313366	1.937594626	-2.720809041
37.6125	0.063736194	1.316686628	-1.58247693
37.615	-0.785868664	0.745140864	-0.563536416
37.6175	-1.210381527	0.665653262	0.30227949
37.62	-1.102501003	1.160265794	1.013023996
37.6225	-0.509949369	1.896524195	1.520452331
37.625	0.363553396	2.359648321	1.698603193
37.6275	1.227613389	2.205405882	1.406392989
37.63	1.823332709	1.480577933	0.614392282
37.6325	2.032876804	0.558913202	-0.496847208
37.635	1.920098006	-0.146104401	-1.554545055
37.6375	1.677474996	-0.46736905	-2.141913411
37.64	1.508084	-0.554788246	-2.00089189
37.6425	1.50937344	-0.69058771	-1.17077845
37.645	1.623423528	-1.0106867	0.019795417
37.6475	1.677733227	-1.362899241	1.101910827
37.65	1.487923198	-1.418819217	1.672432327
37.6525	0.961318794	-0.950626075	1.553178186
37.655	0.1454813	-0.049826447	0.840244933
37.6575	-0.798280639	0.890915779	-0.15509071
37.66	-1.673966969	1.425468372	-1.029273595
37.6625	-2.335688215	1.344498604	-1.422971317
37.665	-2.735562196	0.790764657	-1.136395118
37.6675	-2.917141668	0.122396008	-0.199442115
37.67	-2.966068874	-0.355281389	1.128339505
37.6725	-2.948189992	-0.573262963	2.446933828
37.675	-2.867120039	-0.662689041	3.380636314
37.6775	-2.66066187	-0.75255604	3.753215414
37.68	-2.237325166	-0.794532582	3.674710033
37.6825	-1.537233073	-0.582295423	3.467765208
37.685	-0.589678169	0.037881222	3.45181125
37.6875	0.462086986	0.943029709	3.705266263
37.69	1.387446327	1.704538682	3.964949559
37.6925	1.944760058	1.816699006	3.755312729
37.695	1.981051501	1.034948137	2.695275562
37.6975	1.510883897	-0.427451398	0.800147954
37.7	0.732346441	-2.003035903	-1.424438947
37.7025	-0.037733272	-3.110166887	-3.184505534
37.705	-0.489909784	-3.484963615	-3.799264374
37.7075	-0.456489647	-3.266843624	-3.071921096
37.71	0.00987812	-2.791205631	-1.407134891
37.7125	0.655968713	-2.270972188	0.398205154
37.715	1.143254322	-1.631883455	1.567944328
37.7175	1.207754804	-0.636605561	1.722957801
37.72	0.787930336	0.808800934	1.013392325
37.7225	0.056484866	2.432439306	-0.044462824
37.725	-0.661845858	3.6703423	-0.902955239
37.7275	-1.04682523	4.015756222	-1.280548736
37.73	-0.934942195	3.392213926	-1.260454451
37.7325	-0.390605792	2.255477212	-1.165051602
37.735	0.337636365	1.318045661	-1.312673569
37.7375	0.948783318	1.072880523	-1.812827881
37.74	1.235754437	1.454881821	-2.508019701
37.7425	1.168542586	1.890906931	-3.070990503
37.745	0.875780365	1.711336717	-3.181496718
37.7475	0.545892306	0.633581401	-2.681083213
37.75	0.313227071	-1.023696771	-1.636980009
37.7525	0.19744161	-2.53991195	-0.302865303
37.755	0.125518176	-3.252704592	0.989412721
37.7575	0.011194083	-2.949590269	1.953617708
37.76	-0.168077169	-1.931149604	2.44042082
37.7625	-0.349476784	-0.739542598	2.467217043
37.765	-0.429599766	0.214060456	2.181847564
37.7675	-0.340057408	0.84180005	1.780600937
37.77	-0.098395343	1.279078574	1.420328981
37.7725	0.201392514	1.622934901	1.167762416
37.775	0.450177537	1.760770023	1.008213085
37.7775	0.591930473	1.449267142	0.899665676
37.78	0.650939637	0.578420292	0.828617229
37.7825	0.701069185	-0.615956256	0.823032971
37.785	0.802141827	-1.602690991	0.911247286
37.7875	0.951137944	-1.873681269	1.062082695
37.79	1.082905759	-1.309930495	1.164189936
37.7925	1.117171173	-0.312067408	1.079097095
37.795	1.014261597	0.429482984	0.745041337
37.7975	0.796245906	0.384235464	0.258465001
37.8	0.516939261	-0.460287336	-0.140706202
37.8025	0.204269435	-1.587769724	-0.194490259
37.805	-0.177697886	-2.299309567	0.205994315
